date,new_cases,death_cases,recovered_cases
01/03/2020,2,0,0
02/03/2020,2,0,0
03/03/2020,2,0,0
04/03/2020,2,0,0
05/03/2020,0,1,0
06/03/2020,0,0,0
07/03/2020,0,2,0
08/03/2020,0,0,0
09/03/2020,0,1,0
10/03/2020,0,0,0
11/03/2020,0,0,0
12/03/2020,2,1,4
13/03/2020,4,1,3
14/03/2020,2,1,1
15/03/2020,8,3,0
16/03/2020,2,3,0
17/03/2020,2,1,0
18/03/2020,1,1,0
19/03/2020,2,0,1
20/03/2020,5,3,1
21/03/2020,8,3,6
22/03/2020,2,0,3
23/03/2020,0,0,0
24/03/2020,16,19,3
25/03/2020,1,1,0
26/03/2020,57,2,0
27/03/2020,74,7,6
28/03/2020,48,9,9
29/03/2020,52,10,0
30/03/2020,33,7,0
31/03/2020,44,10,0
01/04/2020,59,1,0
02/04/2020,70,5,2
03/04/2020,71,6,2
04/04/2020,57,8,5
05/04/2020,87,11,2
06/04/2020,103,7,7
07/04/2020,113,14,3
08/04/2020,90,8,5
09/04/2020,228,34,5
10/04/2020,53,11,4
11/04/2020,190,10,7
12/04/2020,156,33,37
13/04/2020,135,7,1
14/04/2020,122,10,0
15/04/2020,143,9,20
16/04/2020,174,1,0
17/04/2020,170,7,35
18/04/2020,101,7,1
19/04/2020,113,3,25
20/04/2020,74,5,7
21/04/2020,183,2,59
22/04/2020,110,1,8
23/04/2020,122,0,4
24/04/2020,78,0,1
25/04/2020,78,19,7
26/04/2020,104,7,1
27/04/2020,66,13,1
28/04/2020,124,4,22
29/04/2020,110,0,75
30/04/2020,106,0,46
01/05/2020,135,4,2
02/05/2020,92,17,24
03/05/2020,129,5,112
04/05/2020,80,8,3
05/05/2020,132,1,66
06/05/2020,106,5,37
07/05/2020,82,8,4
08/05/2020,96,1,0
09/05/2020,98,3,5
10/05/2020,125,6,49
11/05/2020,81,6,9
12/05/2020,96,2,108
13/05/2020,180,6,96
14/05/2020,135,2,134
15/05/2020,86,7,106
16/05/2020,101,0,18
17/05/2020,127,3,11
18/05/2020,79,0,0
19/05/2020,94,7,21
20/05/2020,84,1,3
21/05/2020,70,8,130
22/05/2020,106,29,55
23/05/2020,111,1,54
24/05/2020,112,0,20
25/05/2020,76,0,65
26/05/2020,87,0,13
27/05/2020,109,8,16
28/05/2020,100,0,20
29/05/2020,125,0,38
30/05/2020,108,7,255
31/05/2020,113,1,70
01/06/2020,157,2,185
02/06/2020,59,0,120
03/06/2020,91,5,181
04/06/2020,109,0,21
05/06/2020,70,1,138
06/06/2020,117,0,86
07/06/2020,168,4,287
08/06/2020,90,0,75
09/06/2020,239,4,163
10/06/2020,166,2,141
11/06/2020,131,1,147
12/06/2020,92,4,118
13/06/2020,121,8,58
14/06/2020,118,9,246
15/06/2020,141,2,111
16/06/2020,97,0,132
17/06/2020,122,5,115
18/06/2020,171,30,130
19/06/2020,133,1,126
20/06/2020,189,8,123
21/06/2020,141,1,234
22/06/2020,123,0,75
23/06/2020,160,8,109
24/06/2020,152,8,97
25/06/2020,181,9,220
26/06/2020,197,4,0
27/06/2020,192,8,68
28/06/2020,132,1,255
29/06/2020,122,0,252
30/06/2020,182,8,394
01/07/2020,215,0,168
02/07/2020,200,6,192
03/07/2020,140,5,240
04/07/2020,218,0,268
05/07/2020,255,5,286
06/07/2020,221,0,374
07/07/2020,193,12,242
08/07/2020,350,6,147
09/07/2020,277,6,223
10/07/2020,252,0,180
11/07/2020,383,10,215
12/07/2020,395,10,159
13/07/2020,281,7,208
14/07/2020,266,4,120
15/07/2020,251,5,197
16/07/2020,309,8,135
17/07/2020,257,6,139
18/07/2020,339,8,121
19/07/2020,319,9,327
20/07/2020,381,9,155
21/07/2020,432,8,266
22/07/2020,387,5,367
23/07/2020,462,2,168
24/07/2020,293,4,270
25/07/2020,369,0,175
26/07/2020,384,4,161
27/07/2020,501,10,112
28/07/2020,409,16,374
29/07/2020,617,14,250
30/07/2020,397,19,188
31/07/2020,430,14,405
01/08/2020,368,12,680
02/08/2020,377,0,141
03/08/2020,472,16,134
04/08/2020,410,14,224
05/08/2020,354,14,379
06/08/2020,556,13,248
07/08/2020,665,12,196
08/08/2020,686,11,509
09/08/2020,440,6,560
